text,intent,task,slots,role
Can you show me my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I think I have some sick leave left; can you confirm?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
How many personal days do I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you provide a summary of my leave balance for the current month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
What is my leave balance for maternity leave?,leave_balance,leave_balance_by_type,"{""leave_type"": ""maternity""}",employee
"I would like to see my leave history for last year, please.",leave_balance,leave_history,"{""year"": ""2024""}",employee
Could you let me know if I have any upcoming leaves approved?,leave_balance,upcoming_approved_leaves,{},employee
Can you check my leave balance for the month of July?,leave_balance,leave_balance_summary,"{""month"": ""July"", ""year"": ""2025""}",employee
How many days of vacation do I still have?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
I think I used some sick leave last month; can you show me?,leave_balance,leave_history,"{""month"": ""July"", ""year"": ""2025""}",employee
What are my approved leaves for the next month?,leave_balance,upcoming_approved_leaves,{},employee
Can you summarize my leave balance for the last quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
How many days of unpaid leave do I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""unpaid""}",employee
What upcoming leaves do I have scheduled?,leave_balance,upcoming_approved_leaves,{},employee
Could you check my leave balance for the month of September?,leave_balance,leave_balance_summary,"{""month"": ""September"", ""year"": ""2025""}",employee
I need to know how many sick days I have left this year.,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you show me my leave history for the past year?,leave_balance,leave_history,"{""year"": ""2024""}",employee
What are my upcoming approved leaves for this month?,leave_balance,upcoming_approved_leaves,{},employee
I think I have some personal leave left; can you confirm?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Can you provide a summary of my leave balance for the current year?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
How many days of maternity leave do I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""maternity""}",employee
Can you check my leave history for the last two months?,leave_balance,leave_history,"{""month"": ""July"", ""year"": ""2025""}",employee
What upcoming leaves do I have for the next quarter?,leave_balance,upcoming_approved_leaves,{},employee
Could you let me know my leave balance for this month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
How many vacation days do I still have this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you show me my leave history for the last three months?,leave_balance,leave_history,{},employee
What are my approved leaves for the upcoming month?,leave_balance,upcoming_approved_leaves,{},employee
Can you check the leave balance for employee ID 12345?,leave_balance,leave_balance_summary,"{""employee_id"": ""12345"", ""year"": ""2025""}",hr
I need to see the leave history for employee Jane Doe.,leave_balance,leave_history,"{""employee_name"": ""Jane Doe"", ""year"": ""2024""}",hr
What is the leave balance for employee ID 67890?,leave_balance,leave_balance_summary,"{""employee_id"": ""67890"", ""year"": ""2025""}",hr
Can you provide the upcoming approved leaves for employee John Smith?,leave_balance,upcoming_approved_leaves,"{""employee_name"": ""John Smith""}",hr
How many sick days does employee ID 54321 have left?,leave_balance,leave_balance_by_type,"{""employee_id"": ""54321"", ""leave_type"": ""sick""}",hr
Can you summarize the leave balance for employee ID 98765?,leave_balance,leave_balance_summary,"{""employee_id"": ""98765"", ""year"": ""2025""}",hr
I want to check how many vacation days I have left. Can you help?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What’s my sick leave balance looking like right now?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
I think I have some upcoming approved leaves; can you confirm?,leave_balance,upcoming_approved_leaves,{},employee
How many personal leave days do I have left this month?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""leave_type"": ""personal""}",employee
Is there a way to see my leave balance for the last quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Can you remind me of my total leave balance?,leave_balance,leave_balance_summary,{},employee
What’s the current status of my approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I’d like to know how many days I’ve taken off this year. Can you check?,leave_balance,leave_history,"{""year"": ""2025""}",employee
Can you give me a breakdown of my leave balance by type?,leave_balance,leave_balance_by_type,{},employee
I think I have some vacation days left; can you verify that?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What’s my leave balance for maternity leave?,leave_balance,leave_balance_by_type,"{""leave_type"": ""maternity""}",employee
Can you check my leave history for the past few months?,leave_balance,leave_history,{},employee
"I need to see my sick leave balance for this month, please.",leave_balance,leave_balance_by_type,"{""month"": ""August"", ""leave_type"": ""sick""}",employee
Could you provide me with an overview of my leave balance?,leave_balance,leave_balance_summary,{},employee
What’s the total number of leave days I have remaining?,leave_balance,leave_balance_summary,{},employee
Can I get a summary of my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I think I have some leave history that needs checking; can you help?,leave_balance,leave_history,{},employee
Can you tell me how many vacation days I’ve used this year?,leave_balance,leave_history,"{""year"": ""2025"", ""leave_type"": ""vacation""}",employee
I’d like to know if I have any upcoming leaves approved.,leave_balance,upcoming_approved_leaves,{},employee
What’s my leave balance for the current month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
Can you check if I have any sick leave left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
I need to confirm my leave balance for the year; can you assist?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
"Could you provide the leave balance for my colleague, John Doe?",leave_balance,leave_balance_summary,"{""employee_name"": ""John Doe""}",hr
What’s the leave history for Jane Smith?,leave_balance,leave_history,"{""employee_name"": ""Jane Smith""}",hr
Can you tell me how many vacation days are left for Alex Johnson?,leave_balance,leave_balance_by_type,"{""employee_name"": ""Alex Johnson"", ""leave_type"": ""vacation""}",hr
I need to see the upcoming approved leaves for the team.,leave_balance,upcoming_approved_leaves,{},hr
Can you provide a summary of leave balances for all employees?,leave_balance,leave_balance_summary,{},hr
What’s the sick leave balance for my team members?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",hr
Can you check the leave history for all employees in the department?,leave_balance,leave_history,{},hr
I’d like to know the leave balance for employees on maternity leave.,leave_balance,leave_balance_by_type,"{""leave_type"": ""maternity""}",hr
Can you confirm the total leave days taken by Sarah Connor?,leave_balance,leave_history,"{""employee_name"": ""Sarah Connor""}",hr
What’s the leave balance for employees who have taken unpaid leave?,leave_balance,leave_balance_by_type,"{""leave_type"": ""unpaid""}",hr
Can you provide a report on upcoming leaves for the next month?,leave_balance,upcoming_approved_leaves,"{""month"": ""September""}",hr
I need to check how much vacation leave I have left.,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What is my sick leave balance right now?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you provide a summary of my leave history?,leave_balance,leave_history,{},employee
I was wondering about my upcoming approved leaves.,leave_balance,upcoming_approved_leaves,{},employee
How many personal leave days do I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Could you check my leave balance for the month of August?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
Can you remind me how many vacation days I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Is there a way to see my leave balance summary?,leave_balance,leave_balance_summary,{},employee
Can I get a list of my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
What is the current balance of my personal leave?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Could you show me my leave history for the last six months?,leave_balance,leave_history,{},employee
How many vacation days do I have left for this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation"", ""year"": ""2025""}",employee
Can you provide my sick leave balance for the current month?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick"", ""month"": ""October"", ""year"": ""2025""}",employee
I need to check my leave balance summary for next year.,leave_balance,leave_balance_summary,"{""year"": ""2026""}",employee
What are the details of my leave history?,leave_balance,leave_history,{},employee
Can you tell me how many personal leave days I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
"I think I have some upcoming approved leaves, can you check?",leave_balance,upcoming_approved_leaves,{},employee
Could you provide a summary of my leave balance for this month?,leave_balance,leave_balance_summary,"{""month"": ""October"", ""year"": ""2025""}",employee
Can I see my leave history for the past two years?,leave_balance,leave_history,{},employee
What is my current balance for vacation leave?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
"I need to know my upcoming approved leaves, please.",leave_balance,upcoming_approved_leaves,{},employee
Could you check my leave balance summary for the last quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
What is my leave history for the last month?,leave_balance,leave_history,"{""month"": ""September"", ""year"": ""2025""}",employee
Can you tell me how many personal leave days I have remaining?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
"I think I have some vacation days left, can you confirm?",leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can I see my sick leave balance for this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick"", ""year"": ""2025""}",employee
What does my leave history look like for this year?,leave_balance,leave_history,"{""year"": ""2025""}",employee
Can you provide a summary of my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I need to check how many vacation days I have left for this month.,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation"", ""month"": ""October"", ""year"": ""2025""}",employee
Could you tell me my sick leave balance for the current month?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick"", ""month"": ""October"", ""year"": ""2025""}",employee
What is my leave balance summary for the past year?,leave_balance,leave_balance_summary,"{""year"": ""2024""}",employee
Can I see my leave history for the last three months?,leave_balance,leave_history,{},employee
How many personal leave days do I have left for this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal"", ""year"": ""2025""}",employee
Can you remind me of my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
Could you provide the sick leave balance for employee EMP456?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick"", ""employee_id"": ""EMP456""}",hr
Can I get a summary of the leave history for employee EMP789?,leave_balance,leave_history,"{""employee_id"": ""EMP789""}",hr
What is the leave balance summary for employee EMP321?,leave_balance,leave_balance_summary,"{""employee_id"": ""EMP321""}",hr
Can you check the upcoming approved leaves for employee EMP654?,leave_balance,upcoming_approved_leaves,"{""employee_id"": ""EMP654""}",hr
Can you tell me my current leave balance?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
I'd like to check how much vacation leave I have left.,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Could you give me a summary of my leave balance?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
How many days of personal leave do I have left?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""personal""}",employee
"I think I need to check my leave history, can you help?",leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What are my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
"I’d like to see my leave balance for this year, please.",leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you provide details on my leave history?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
"I think I have some upcoming leaves, can you check?",leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
How many vacation days do I have left this year?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you summarize my leave balance for me?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
I need to know my leave history for the past year.,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you check if I have any approved leaves coming up?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
How many days of leave do I have left for this month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Could you tell me my leave balance for the current year?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s the balance for my unpaid leave?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""unpaid""}",employee
Can you provide my leave history for the last two years?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s my balance for family leave?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""family""}",employee
Can you check my leave balance for the month of August?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
How many sick days do I have remaining?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
Can you summarize my leave history for me?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Could you tell me how many personal days I have left?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""personal""}",employee
Can you provide a summary of my leave balance for this year?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s my sick leave balance looking like this month?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
Can you give me a rundown of my leave history?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s my balance for vacation days this year?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you summarize my leave balance for the current month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s the status of my leave history for the past year?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you check if I have any approved leaves in the coming weeks?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
How many days of maternity leave do I have left?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""maternity""}",employee
Can you provide my leave balance for the month of July?,leave_balance,leave_balance_summary,"{""month"": ""July"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What’s my sick leave balance for the year?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
Can you give me a summary of my leave history for this year?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
I need to check how many vacation days I have left. Can you help?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
What does my sick leave balance look like right now?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can I see my leave history for the past year?,leave_balance,leave_history,"{""year"": ""2024""}",employee
What is the total leave balance I have as of now?,leave_balance,leave_balance_summary,{},employee
Could you provide a breakdown of my leave types?,leave_balance,leave_balance_by_type,{},employee
I’m curious about my leave history; can you pull that up?,leave_balance,leave_history,{},employee
How many personal days do I have left this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
Could you summarize my leave balance for the last quarter?,leave_balance,leave_balance_summary,"{""year"": ""2025""}",employee
Can you show me my leave history for the last two years?,leave_balance,leave_history,"{""year"": ""2024""}",employee
"I’d like to know my sick leave balance, please.",leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you check if I have any upcoming leaves approved?,leave_balance,upcoming_approved_leaves,{},employee
What’s my total leave balance looking like?,leave_balance,leave_balance_summary,{},employee
Could you break down my leave types for me?,leave_balance,leave_balance_by_type,{},employee
I need to see my leave history; can you help with that?,leave_balance,leave_history,{},employee
How many vacation days do I have remaining this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""vacation""}",employee
Can you confirm my upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
I need to check my leave balance for this month; can you assist?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025""}",employee
Could you provide details on my sick leave balance?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
I’d like to review my leave history for the past few months.,leave_balance,leave_history,{},employee
Can you let me know how many personal days I have left?,leave_balance,leave_balance_by_type,"{""leave_type"": ""personal""}",employee
I think I have some approved leaves coming up; can you check?,leave_balance,upcoming_approved_leaves,{},employee
Could you clarify my leave types and balances?,leave_balance,leave_balance_by_type,{},employee
Can you pull up my leave history for the last year?,leave_balance,leave_history,"{""year"": ""2024""}",employee
How many sick days do I have left this year?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
What’s my total leave balance right now?,leave_balance,leave_balance_summary,{},employee
Could you give me a breakdown of my leave types?,leave_balance,leave_balance_by_type,{},employee
I’d like to see my leave history; can you assist?,leave_balance,leave_history,{},employee
Can you confirm if I have any upcoming approved leaves?,leave_balance,upcoming_approved_leaves,{},employee
Could you provide my sick leave balance?,leave_balance,leave_balance_by_type,"{""leave_type"": ""sick""}",employee
Can you show me my leave history for the past few months?,leave_balance,leave_history,{},employee
I think I have some approved leaves; can you check?,leave_balance,upcoming_approved_leaves,{},employee
What is my leave balance for sick leave?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
I think I need to check my vacation leave balance.,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Could you provide a summary of my leave balance?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What does my leave history look like?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
I would like to know about my upcoming approved leaves.,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you give me a breakdown of my leave types?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",employee
What is the balance for my personal leave?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""personal""}",employee
I think I have some leave history I need to review.,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
What are my approved leaves coming up?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Could you check my sick leave balance?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
"I need to see my leave history, please.",leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you provide my leave balance for maternity leave?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""maternity""}",employee
What is the total leave balance I have?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",employee
"I think I have some vacation days left, can you check?",leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you tell me how many sick days I have remaining?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",employee
What is my leave balance for the current month?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",employee
Could you remind me of my upcoming leaves?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",employee
Can you check the leave history for my team member?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",hr
What is the leave balance for employee XYZ?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",hr
I need to see the leave balance for John Doe.,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",hr
Can you provide the leave history for Jane Smith?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",hr
What is the sick leave balance for employee ABC?,leave_balance,leave_balance_by_type,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""sick""}",hr
Can you summarize the leave balances for my team?,leave_balance,leave_balance_summary,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""all""}",hr
What are the upcoming approved leaves for my department?,leave_balance,upcoming_approved_leaves,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",hr
Can you check the leave history for my direct reports?,leave_balance,leave_history,"{""month"": ""August"", ""year"": ""2025"", ""leave_type"": ""vacation""}",hr
